03.02.2017  0:00:00,53 - lsm, INFO, ALL IS WELL  
03.02.2017  0:05:37,41 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:05:37,79 - lsm, INFO, ALL IS WELL  
03.02.2017  0:05:52,22 - lsm, INFO, ALL IS WELL  
03.02.2017  0:06:06,49 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:06:06,85 - lsm, INFO, ALL IS WELL  
03.02.2017  0:06:21,32 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:06:21,76 - lsm, INFO, ALL IS WELL  
03.02.2017  0:06:36,25 - lsm, INFO, ALL IS WELL  
03.02.2017  0:06:50,59 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:06:50,95 - lsm, INFO, ALL IS WELL  
03.02.2017  0:07:05,39 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:07:06,22 - lsm, INFO, ALL IS WELL  
03.02.2017  0:07:20,65 - lsm, INFO, ALL IS WELL  
03.02.2017  0:07:35,09 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:07:35,44 - lsm, INFO, ALL IS WELL  
03.02.2017  0:07:50,00 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:07:50,38 - lsm, INFO, ALL IS WELL  
03.02.2017  0:08:04,80 - lsm, INFO, ALL IS WELL  
03.02.2017  0:08:19,08 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:08:19,44 - lsm, INFO, ALL IS WELL  
03.02.2017  0:08:33,90 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:08:34,25 - lsm, INFO, ALL IS WELL  
03.02.2017  0:08:48,74 - lsm, INFO, ALL IS WELL  
03.02.2017  0:09:02,99 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:09:03,36 - lsm, INFO, ALL IS WELL  
03.02.2017  0:09:17,78 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:09:18,20 - lsm, INFO, ALL IS WELL  
03.02.2017  0:09:32,64 - lsm, INFO, ALL IS WELL  
03.02.2017  0:09:46,91 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:09:47,27 - lsm, INFO, ALL IS WELL  
03.02.2017  0:10:01,84 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:10:02,22 - lsm, INFO, ALL IS WELL  
03.02.2017  0:10:16,67 - lsm, INFO, ALL IS WELL  
03.02.2017  0:10:30,94 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:10:31,32 - lsm, INFO, ALL IS WELL  
03.02.2017  0:10:45,75 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:10:46,14 - lsm, INFO, ALL IS WELL  
03.02.2017  0:11:00,58 - lsm, INFO, ALL IS WELL  
03.02.2017  0:11:14,87 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:11:15,23 - lsm, INFO, ALL IS WELL  
03.02.2017  0:11:29,70 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:11:30,08 - lsm, INFO, ALL IS WELL  
03.02.2017  0:11:44,57 - lsm, INFO, ALL IS WELL  
03.02.2017  0:11:58,84 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:11:59,19 - lsm, INFO, ALL IS WELL  
03.02.2017  0:12:13,67 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:12:14,06 - lsm, INFO, ALL IS WELL  
03.02.2017  0:12:28,53 - lsm, INFO, ALL IS WELL  
03.02.2017  0:12:42,80 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:12:43,16 - lsm, INFO, ALL IS WELL  
03.02.2017  0:12:57,59 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:12:57,97 - lsm, INFO, ALL IS WELL  
03.02.2017  0:13:12,42 - lsm, INFO, ALL IS WELL  
03.02.2017  0:13:26,67 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:13:27,02 - lsm, INFO, ALL IS WELL  
03.02.2017  0:13:41,45 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:13:41,86 - lsm, INFO, ALL IS WELL  
03.02.2017  0:13:56,29 - lsm, INFO, ALL IS WELL  
03.02.2017  0:14:10,56 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:14:11,06 - lsm, INFO, ALL IS WELL  
03.02.2017  0:14:25,60 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:14:25,97 - lsm, INFO, ALL IS WELL  
03.02.2017  0:14:40,39 - lsm, INFO, ALL IS WELL  
03.02.2017  0:14:54,65 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:14:55,01 - lsm, INFO, ALL IS WELL  
03.02.2017  0:15:09,58 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:15:10,00 - lsm, INFO, ALL IS WELL  
03.02.2017  0:15:24,54 - lsm, INFO, ALL IS WELL  
03.02.2017  0:15:38,79 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:15:39,14 - lsm, INFO, ALL IS WELL  
03.02.2017  0:15:53,76 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:15:54,38 - lsm, INFO, ALL IS WELL  
03.02.2017  0:16:08,80 - lsm, INFO, ALL IS WELL  
03.02.2017  0:16:23,08 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:16:23,42 - lsm, INFO, ALL IS WELL  
03.02.2017  0:16:37,90 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:16:38,25 - lsm, INFO, ALL IS WELL  
03.02.2017  0:16:52,69 - lsm, INFO, ALL IS WELL  
03.02.2017  0:17:06,94 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:17:07,29 - lsm, INFO, ALL IS WELL  
03.02.2017  0:17:21,81 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:17:22,18 - lsm, INFO, ALL IS WELL  
03.02.2017  0:17:36,62 - lsm, INFO, ALL IS WELL  
03.02.2017  0:17:50,85 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:17:51,24 - lsm, INFO, ALL IS WELL  
03.02.2017  0:18:05,69 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:18:06,07 - lsm, INFO, ALL IS WELL  
03.02.2017  0:18:20,59 - lsm, INFO, ALL IS WELL  
03.02.2017  0:18:34,92 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:18:35,28 - lsm, INFO, ALL IS WELL  
03.02.2017  0:18:49,77 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:18:50,11 - lsm, INFO, ALL IS WELL  
03.02.2017  0:19:04,58 - lsm, INFO, ALL IS WELL  
03.02.2017  0:19:18,82 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:19:19,20 - lsm, INFO, ALL IS WELL  
03.02.2017  0:19:33,62 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:19:33,99 - lsm, INFO, ALL IS WELL  
03.02.2017  0:19:48,39 - lsm, INFO, ALL IS WELL  
03.02.2017  0:20:02,63 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:20:02,99 - lsm, INFO, ALL IS WELL  
03.02.2017  0:20:17,42 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:20:17,79 - lsm, INFO, ALL IS WELL  
03.02.2017  0:20:32,22 - lsm, INFO, ALL IS WELL  
03.02.2017  0:20:46,47 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:20:46,89 - lsm, INFO, ALL IS WELL  
03.02.2017  0:21:01,31 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:21:01,73 - lsm, INFO, ALL IS WELL  
03.02.2017  0:21:16,25 - lsm, INFO, ALL IS WELL  
03.02.2017  0:21:30,46 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:21:30,82 - lsm, INFO, ALL IS WELL  
03.02.2017  0:21:45,27 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:21:45,63 - lsm, INFO, ALL IS WELL  
03.02.2017  0:22:00,03 - lsm, INFO, ALL IS WELL  
03.02.2017  0:22:14,28 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:22:14,69 - lsm, INFO, ALL IS WELL  
03.02.2017  0:22:29,12 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:22:29,50 - lsm, INFO, ALL IS WELL  
03.02.2017  0:22:43,95 - lsm, INFO, ALL IS WELL  
03.02.2017  0:22:58,20 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:22:58,56 - lsm, INFO, ALL IS WELL  
03.02.2017  0:23:13,04 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:23:13,38 - lsm, INFO, ALL IS WELL  
03.02.2017  0:23:27,84 - lsm, INFO, ALL IS WELL  
03.02.2017  0:23:42,08 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:23:42,59 - lsm, INFO, ALL IS WELL  
03.02.2017  0:23:57,06 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:23:57,43 - lsm, INFO, ALL IS WELL  
03.02.2017  0:24:11,85 - lsm, INFO, ALL IS WELL  
03.02.2017  0:24:26,10 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:24:26,46 - lsm, INFO, ALL IS WELL  
03.02.2017  0:24:41,04 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:24:41,41 - lsm, INFO, ALL IS WELL  
03.02.2017  0:24:55,88 - lsm, INFO, ALL IS WELL  
03.02.2017  0:25:10,12 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:25:10,54 - lsm, INFO, ALL IS WELL  
03.02.2017  0:25:25,01 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:25:25,38 - lsm, INFO, ALL IS WELL  
03.02.2017  0:25:39,80 - lsm, INFO, ALL IS WELL  
03.02.2017  0:25:54,08 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:25:54,47 - lsm, INFO, ALL IS WELL  
03.02.2017  0:26:08,93 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:26:09,28 - lsm, INFO, ALL IS WELL  
03.02.2017  0:26:23,72 - lsm, INFO, ALL IS WELL  
03.02.2017  0:26:37,98 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:26:38,34 - lsm, INFO, ALL IS WELL  
03.02.2017  0:26:52,78 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:26:53,18 - lsm, INFO, ALL IS WELL  
03.02.2017  0:27:07,71 - lsm, INFO, ALL IS WELL  
03.02.2017  0:27:22,02 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:27:22,37 - lsm, INFO, ALL IS WELL  
03.02.2017  0:27:36,82 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:27:37,18 - lsm, INFO, ALL IS WELL  
03.02.2017  0:27:51,62 - lsm, INFO, ALL IS WELL  
03.02.2017  0:28:05,90 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:28:06,26 - lsm, INFO, ALL IS WELL  
03.02.2017  0:28:20,70 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:28:21,15 - lsm, INFO, ALL IS WELL  
03.02.2017  0:28:35,58 - lsm, INFO, ALL IS WELL  
03.02.2017  0:28:49,81 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:28:50,16 - lsm, INFO, ALL IS WELL  
03.02.2017  0:29:04,61 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:29:04,99 - lsm, INFO, ALL IS WELL  
03.02.2017  0:29:19,43 - lsm, INFO, ALL IS WELL  
03.02.2017  0:29:33,73 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:29:34,09 - lsm, INFO, ALL IS WELL  
03.02.2017  0:29:48,52 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:29:48,88 - lsm, INFO, ALL IS WELL  
03.02.2017  0:30:03,47 - lsm, INFO, ALL IS WELL  
03.02.2017  0:30:17,75 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:30:18,11 - lsm, INFO, ALL IS WELL  
03.02.2017  0:30:32,57 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:30:32,93 - lsm, INFO, ALL IS WELL  
03.02.2017  0:30:47,34 - lsm, INFO, ALL IS WELL  
03.02.2017  0:31:01,64 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:31:02,15 - lsm, INFO, ALL IS WELL  
03.02.2017  0:31:16,54 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:31:16,94 - lsm, INFO, ALL IS WELL  
03.02.2017  0:31:31,35 - lsm, INFO, ALL IS WELL  
03.02.2017  0:31:45,62 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:31:45,98 - lsm, INFO, ALL IS WELL  
03.02.2017  0:32:00,44 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:32:00,80 - lsm, INFO, ALL IS WELL  
03.02.2017  0:32:15,23 - lsm, INFO, ALL IS WELL  
03.02.2017  0:32:29,47 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:32:29,84 - lsm, INFO, ALL IS WELL  
03.02.2017  0:32:44,30 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:32:44,64 - lsm, INFO, ALL IS WELL  
03.02.2017  0:32:59,07 - lsm, INFO, ALL IS WELL  
03.02.2017  0:33:13,34 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:33:13,70 - lsm, INFO, ALL IS WELL  
03.02.2017  0:33:28,13 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:33:28,52 - lsm, INFO, ALL IS WELL  
03.02.2017  0:33:42,97 - lsm, INFO, ALL IS WELL  
03.02.2017  0:33:57,23 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:33:57,58 - lsm, INFO, ALL IS WELL  
03.02.2017  0:34:12,06 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:34:12,50 - lsm, INFO, ALL IS WELL  
03.02.2017  0:34:26,93 - lsm, INFO, ALL IS WELL  
03.02.2017  0:34:41,19 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:34:41,55 - lsm, INFO, ALL IS WELL  
03.02.2017  0:34:56,01 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:34:56,37 - lsm, INFO, ALL IS WELL  
03.02.2017  0:35:10,89 - lsm, INFO, ALL IS WELL  
03.02.2017  0:35:25,22 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:35:25,59 - lsm, INFO, ALL IS WELL  
03.02.2017  0:35:40,12 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:35:41,03 - lsm, INFO, ALL IS WELL  
03.02.2017  0:35:55,67 - lsm, INFO, ALL IS WELL  
03.02.2017  0:36:10,10 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:36:10,53 - lsm, INFO, ALL IS WELL  
03.02.2017  0:36:25,14 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:36:25,50 - lsm, INFO, ALL IS WELL  
03.02.2017  0:36:40,00 - lsm, INFO, ALL IS WELL  
03.02.2017  0:36:54,36 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:36:54,72 - lsm, INFO, ALL IS WELL  
03.02.2017  0:37:09,16 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:37:09,52 - lsm, INFO, ALL IS WELL  
03.02.2017  0:37:23,95 - lsm, INFO, ALL IS WELL  
03.02.2017  0:37:38,22 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:37:38,57 - lsm, INFO, ALL IS WELL  
03.02.2017  0:37:52,99 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:37:53,36 - lsm, INFO, ALL IS WELL  
03.02.2017  0:38:07,79 - lsm, INFO, ALL IS WELL  
03.02.2017  0:38:22,05 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:38:22,40 - lsm, INFO, ALL IS WELL  
03.02.2017  0:38:36,89 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:38:37,24 - lsm, INFO, ALL IS WELL  
03.02.2017  0:38:51,69 - lsm, INFO, ALL IS WELL  
03.02.2017  0:39:05,97 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:39:06,32 - lsm, INFO, ALL IS WELL  
03.02.2017  0:39:20,77 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:39:21,16 - lsm, INFO, ALL IS WELL  
03.02.2017  0:39:35,65 - lsm, INFO, ALL IS WELL  
03.02.2017  0:39:49,88 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:39:50,24 - lsm, INFO, ALL IS WELL  
03.02.2017  0:40:04,66 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:40:05,07 - lsm, INFO, ALL IS WELL  
03.02.2017  0:40:19,50 - lsm, INFO, ALL IS WELL  
03.02.2017  0:40:33,81 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:40:34,16 - lsm, INFO, ALL IS WELL  
03.02.2017  0:40:48,63 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:40:48,98 - lsm, INFO, ALL IS WELL  
03.02.2017  0:41:03,42 - lsm, INFO, ALL IS WELL  
03.02.2017  0:41:17,68 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:41:18,02 - lsm, INFO, ALL IS WELL  
03.02.2017  0:41:32,49 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:41:32,84 - lsm, INFO, ALL IS WELL  
03.02.2017  0:41:47,30 - lsm, INFO, ALL IS WELL  
03.02.2017  0:42:01,66 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:42:02,19 - lsm, INFO, ALL IS WELL  
03.02.2017  0:42:16,65 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:42:17,02 - lsm, INFO, ALL IS WELL  
03.02.2017  0:42:31,42 - lsm, INFO, ALL IS WELL  
03.02.2017  0:42:45,69 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:42:46,04 - lsm, INFO, ALL IS WELL  
03.02.2017  0:43:00,57 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:43:00,92 - lsm, INFO, ALL IS WELL  
03.02.2017  0:43:15,34 - lsm, INFO, ALL IS WELL  
03.02.2017  0:43:29,59 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:43:29,96 - lsm, INFO, ALL IS WELL  
03.02.2017  0:43:44,39 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:43:44,75 - lsm, INFO, ALL IS WELL  
03.02.2017  0:43:59,16 - lsm, INFO, ALL IS WELL  
03.02.2017  0:44:13,44 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:44:13,81 - lsm, INFO, ALL IS WELL  
03.02.2017  0:44:28,27 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:44:28,65 - lsm, INFO, ALL IS WELL  
03.02.2017  0:44:43,05 - lsm, INFO, ALL IS WELL  
03.02.2017  0:44:57,35 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:44:57,71 - lsm, INFO, ALL IS WELL  
03.02.2017  0:45:12,18 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:45:12,54 - lsm, INFO, ALL IS WELL  
03.02.2017  0:45:26,97 - lsm, INFO, ALL IS WELL  
03.02.2017  0:45:41,20 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:45:41,56 - lsm, INFO, ALL IS WELL  
03.02.2017  0:45:55,99 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:45:56,34 - lsm, INFO, ALL IS WELL  
03.02.2017  0:46:10,85 - lsm, INFO, ALL IS WELL  
03.02.2017  0:46:25,19 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:46:25,55 - lsm, INFO, ALL IS WELL  
03.02.2017  0:46:40,01 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:46:40,54 - lsm, INFO, ALL IS WELL  
03.02.2017  0:46:54,95 - lsm, INFO, ALL IS WELL  
03.02.2017  0:47:09,24 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:47:09,61 - lsm, INFO, ALL IS WELL  
03.02.2017  0:47:24,05 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:47:24,45 - lsm, INFO, ALL IS WELL  
03.02.2017  0:47:38,86 - lsm, INFO, ALL IS WELL  
03.02.2017  0:47:53,09 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:47:53,44 - lsm, INFO, ALL IS WELL  
03.02.2017  0:48:07,90 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:48:08,25 - lsm, INFO, ALL IS WELL  
03.02.2017  0:48:22,68 - lsm, INFO, ALL IS WELL  
03.02.2017  0:48:36,90 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:48:37,25 - lsm, INFO, ALL IS WELL  
03.02.2017  0:48:51,71 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:48:52,09 - lsm, INFO, ALL IS WELL  
03.02.2017  0:49:06,52 - lsm, INFO, ALL IS WELL  
03.02.2017  0:49:20,80 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:49:21,17 - lsm, INFO, ALL IS WELL  
03.02.2017  0:49:35,66 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:49:36,02 - lsm, INFO, ALL IS WELL  
03.02.2017  0:49:50,47 - lsm, INFO, ALL IS WELL  
03.02.2017  0:50:04,71 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:50:05,06 - lsm, INFO, ALL IS WELL  
03.02.2017  0:50:19,63 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:50:20,07 - lsm, INFO, ALL IS WELL  
03.02.2017  0:50:34,56 - lsm, INFO, ALL IS WELL  
03.02.2017  0:50:48,84 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:50:49,19 - lsm, INFO, ALL IS WELL  
03.02.2017  0:51:03,66 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:51:04,05 - lsm, INFO, ALL IS WELL  
03.02.2017  0:51:18,50 - lsm, INFO, ALL IS WELL  
03.02.2017  0:51:32,75 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:51:33,10 - lsm, INFO, ALL IS WELL  
03.02.2017  0:51:47,61 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:51:47,98 - lsm, INFO, ALL IS WELL  
03.02.2017  0:52:02,39 - lsm, INFO, ALL IS WELL  
03.02.2017  0:52:16,66 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:52:17,01 - lsm, INFO, ALL IS WELL  
03.02.2017  0:52:31,45 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:52:31,89 - lsm, INFO, ALL IS WELL  
03.02.2017  0:52:46,39 - lsm, INFO, ALL IS WELL  
03.02.2017  0:53:00,62 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:53:01,02 - lsm, INFO, ALL IS WELL  
03.02.2017  0:53:15,46 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:53:15,85 - lsm, INFO, ALL IS WELL  
03.02.2017  0:53:30,28 - lsm, INFO, ALL IS WELL  
03.02.2017  0:53:44,58 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:53:44,93 - lsm, INFO, ALL IS WELL  
03.02.2017  0:53:59,39 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:53:59,76 - lsm, INFO, ALL IS WELL  
03.02.2017  0:54:14,20 - lsm, INFO, ALL IS WELL  
03.02.2017  0:54:28,45 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:54:28,81 - lsm, INFO, ALL IS WELL  
03.02.2017  0:54:43,23 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:54:43,60 - lsm, INFO, ALL IS WELL  
03.02.2017  0:54:58,02 - lsm, INFO, ALL IS WELL  
03.02.2017  0:55:12,32 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:55:12,66 - lsm, INFO, ALL IS WELL  
03.02.2017  0:55:27,11 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:55:27,48 - lsm, INFO, ALL IS WELL  
03.02.2017  0:55:41,91 - lsm, INFO, ALL IS WELL  
03.02.2017  0:55:56,19 - nsd, INFO, NOW IS NOT WORKING TIME  
03.02.2017  0:55:56,72 - lsm, INFO, ALL IS WELL  
03.02.2017  0:56:11,33 - mtbpro, WARNING, NOT RUNNIG  
03.02.2017  0:56:11,67 - lsm, INFO, ALL IS WELL  
